"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","Enter",,,"1730134959706","Recursion.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","public class Recursion {
    public static void main(String[] args) {

        int[] sumMe = { 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89 };
        System.out.printf(""Array Sum: %d\n"", arraySum(sumMe, 0));

        int[] minMe = { 0, 1, 1, 2, 3, 5, 8, -42, 13, 21, 34, 55, 89 };
        System.out.printf(""Array Min: %d\n"", arrayMin(minMe, 0));

        String[] amISymmetric =  {
                ""You can cage a swallow can't you but you can't swallow a cage can you"",
                ""I still say cS 1410 is my favorite class""
        };
        for (String test : amISymmetric) {
            String[] words = test.toLowerCase().split("" "");
            System.out.println();
            System.out.println(test);
            System.out.printf(""Is word symmetric: %b\n"", isWordSymmetric(words, 0, words.length - 1));
        }

        double[][] masses = {
                { 51.18 },
                { 55.90, 131.25 },
                { 69.05, 133.66, 132.82 },
                { 53.43, 139.61, 134.06, 121.63 }
        };
        System.out.println();
        System.out.println(""--- Weight Pyramid ---"");
        for (int row = 0; row < masses.length; row++) {
            for (int column = 0; column < masses[row].length; column++) {
                double weight = computePyramidWeights(masses, row, column);
                System.out.printf(""%.2f "", weight);
            }
            System.out.println();
        }

        char[][] image = {
                {'*','*',' ',' ',' ',' ',' ',' ','*',' '},
                {' ','*',' ',' ',' ',' ',' ',' ','*',' '},
                {' ',' ',' ',' ',' ',' ','*','*',' ',' '},
                {' ','*',' ',' ','*','*','*',' ',' ',' '},
                {' ','*','*',' ','*',' ','*',' ','*',' '},
                {' ','*','*',' ','*','*','*','*','*','*'},
                {' ',' ',' ',' ',' ',' ',' ',' ','*',' '},
                {' ',' ',' ',' ',' ',' ',' ',' ','*',' '},
                {' ',' ',' ','*','*','*',' ',' ','*',' '},
                {' ',' ',' ',' ',' ','*',' ',' ','*',' '}
        };
        int howMany = howManyOrganisms(image);
        System.out.println();
        System.out.println(""--- Labeled Organism Image ---"");
        for (char[] line : image) {
            for (char item : line) {
                System.out.print(item);
            }
            System.out.println();
        }
        System.out.printf(""There are %d organisms in the image.\n"", howMany);

    }
    
}
","","0","1730134959717","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1730134959865","Recursion.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","    
","","2448","1730134959868","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","    ","2443","1730134963934","Recursion.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Paste",,,"1730134977994","Recursion.java","1.1.5 for 2021-2022 @t1",,"Paste",,,,,
"p","public static boolean isWordSymmetric(String[] words, int start, int end)",,"2443","1730134978024","Recursion.java","1.1.5 for 2021-2022 @t1",,"public static boolean isWordSymmetric(String[] words, int start, int end)",,,,,
"File.Edit","public static boolean isWordSymmetric(String[] words, int start, int end)","","2443","1730134978026","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","2443","1730134978034","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","{","","2520","1730134979951","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","}","","2521","1730134979953","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","{",,"2521","1730134979954","Recursion.java","1.1.5 for 2021-2022 @t1",,"{",,,,,
"X-Action","Enter",,,"1730134980275","Recursion.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
    ","","2521","1730134980279","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    
","","2522","1730134980284","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","2526","1730134980285","Recursion.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","{",,"2521","1730134979954","Recursion.java","1.1.5 for 2021-2022 @t1",,"{",,,,,
